artist_id,ds,plays
0244fbab306479a448862eb56867cf39,20150701,125
0244fbab306479a448862eb56867cf39,20150702,123
0244fbab306479a448862eb56867cf39,20150703,121
0244fbab306479a448862eb56867cf39,20150704,119
0244fbab306479a448862eb56867cf39,20150705,117
0244fbab306479a448862eb56867cf39,20150706,115
0244fbab306479a448862eb56867cf39,20150707,113
0244fbab306479a448862eb56867cf39,20150708,111
0244fbab306479a448862eb56867cf39,20150709,110
0244fbab306479a448862eb56867cf39,20150710,108
0244fbab306479a448862eb56867cf39,20150711,107
0244fbab306479a448862eb56867cf39,20150712,105
0244fbab306479a448862eb56867cf39,20150713,104
0244fbab306479a448862eb56867cf39,20150714,103
0244fbab306479a448862eb56867cf39,20150715,102
0244fbab306479a448862eb56867cf39,20150716,100
0244fbab306479a448862eb56867cf39,20150717,99
0244fbab306479a448862eb56867cf39,20150718,98
0244fbab306479a448862eb56867cf39,20150719,97
0244fbab306479a448862eb56867cf39,20150720,96
0244fbab306479a448862eb56867cf39,20150721,95
0244fbab306479a448862eb56867cf39,20150722,94
0244fbab306479a448862eb56867cf39,20150723,93
0244fbab306479a448862eb56867cf39,20150724,92
0244fbab306479a448862eb56867cf39,20150725,91
0244fbab306479a448862eb56867cf39,20150726,90
0244fbab306479a448862eb56867cf39,20150727,89
0244fbab306479a448862eb56867cf39,20150728,88
0244fbab306479a448862eb56867cf39,20150729,88
0244fbab306479a448862eb56867cf39,20150730,87
0244fbab306479a448862eb56867cf39,20150731,86
0244fbab306479a448862eb56867cf39,20150801,85
0244fbab306479a448862eb56867cf39,20150802,85
0244fbab306479a448862eb56867cf39,20150803,84
0244fbab306479a448862eb56867cf39,20150804,83
0244fbab306479a448862eb56867cf39,20150805,82
0244fbab306479a448862eb56867cf39,20150806,82
0244fbab306479a448862eb56867cf39,20150807,81
0244fbab306479a448862eb56867cf39,20150808,80
0244fbab306479a448862eb56867cf39,20150809,80
0244fbab306479a448862eb56867cf39,20150810,79
0244fbab306479a448862eb56867cf39,20150811,79
0244fbab306479a448862eb56867cf39,20150812,78
0244fbab306479a448862eb56867cf39,20150813,77
0244fbab306479a448862eb56867cf39,20150814,77
0244fbab306479a448862eb56867cf39,20150815,76
0244fbab306479a448862eb56867cf39,20150816,76
0244fbab306479a448862eb56867cf39,20150817,75
0244fbab306479a448862eb56867cf39,20150818,75
0244fbab306479a448862eb56867cf39,20150819,74
0244fbab306479a448862eb56867cf39,20150820,74
0244fbab306479a448862eb56867cf39,20150821,73
0244fbab306479a448862eb56867cf39,20150822,73
0244fbab306479a448862eb56867cf39,20150823,72
0244fbab306479a448862eb56867cf39,20150824,72
0244fbab306479a448862eb56867cf39,20150825,71
0244fbab306479a448862eb56867cf39,20150826,71
0244fbab306479a448862eb56867cf39,20150827,70
0244fbab306479a448862eb56867cf39,20150828,70
0244fbab306479a448862eb56867cf39,20150829,69
0244fbab306479a448862eb56867cf39,20150830,69
03c6699ea836decbc5c8fc2dbae7bd3b,20150701,316
03c6699ea836decbc5c8fc2dbae7bd3b,20150702,305
03c6699ea836decbc5c8fc2dbae7bd3b,20150703,294
03c6699ea836decbc5c8fc2dbae7bd3b,20150704,284
03c6699ea836decbc5c8fc2dbae7bd3b,20150705,274
03c6699ea836decbc5c8fc2dbae7bd3b,20150706,264
03c6699ea836decbc5c8fc2dbae7bd3b,20150707,255
03c6699ea836decbc5c8fc2dbae7bd3b,20150708,245
03c6699ea836decbc5c8fc2dbae7bd3b,20150709,237
03c6699ea836decbc5c8fc2dbae7bd3b,20150710,228
03c6699ea836decbc5c8fc2dbae7bd3b,20150711,220
03c6699ea836decbc5c8fc2dbae7bd3b,20150712,212
03c6699ea836decbc5c8fc2dbae7bd3b,20150713,204
03c6699ea836decbc5c8fc2dbae7bd3b,20150714,197
03c6699ea836decbc5c8fc2dbae7bd3b,20150715,189
03c6699ea836decbc5c8fc2dbae7bd3b,20150716,182
03c6699ea836decbc5c8fc2dbae7bd3b,20150717,175
03c6699ea836decbc5c8fc2dbae7bd3b,20150718,169
03c6699ea836decbc5c8fc2dbae7bd3b,20150719,162
03c6699ea836decbc5c8fc2dbae7bd3b,20150720,156
03c6699ea836decbc5c8fc2dbae7bd3b,20150721,150
03c6699ea836decbc5c8fc2dbae7bd3b,20150722,144
03c6699ea836decbc5c8fc2dbae7bd3b,20150723,138
03c6699ea836decbc5c8fc2dbae7bd3b,20150724,132
03c6699ea836decbc5c8fc2dbae7bd3b,20150725,126
03c6699ea836decbc5c8fc2dbae7bd3b,20150726,121
03c6699ea836decbc5c8fc2dbae7bd3b,20150727,115
03c6699ea836decbc5c8fc2dbae7bd3b,20150728,110
03c6699ea836decbc5c8fc2dbae7bd3b,20150729,105
03c6699ea836decbc5c8fc2dbae7bd3b,20150730,100
03c6699ea836decbc5c8fc2dbae7bd3b,20150731,95
03c6699ea836decbc5c8fc2dbae7bd3b,20150801,90
03c6699ea836decbc5c8fc2dbae7bd3b,20150802,85
03c6699ea836decbc5c8fc2dbae7bd3b,20150803,80
03c6699ea836decbc5c8fc2dbae7bd3b,20150804,76
03c6699ea836decbc5c8fc2dbae7bd3b,20150805,71
03c6699ea836decbc5c8fc2dbae7bd3b,20150806,67
03c6699ea836decbc5c8fc2dbae7bd3b,20150807,63
03c6699ea836decbc5c8fc2dbae7bd3b,20150808,58
03c6699ea836decbc5c8fc2dbae7bd3b,20150809,54
03c6699ea836decbc5c8fc2dbae7bd3b,20150810,50
03c6699ea836decbc5c8fc2dbae7bd3b,20150811,46
03c6699ea836decbc5c8fc2dbae7bd3b,20150812,42
03c6699ea836decbc5c8fc2dbae7bd3b,20150813,38
03c6699ea836decbc5c8fc2dbae7bd3b,20150814,34
03c6699ea836decbc5c8fc2dbae7bd3b,20150815,31
03c6699ea836decbc5c8fc2dbae7bd3b,20150816,27
03c6699ea836decbc5c8fc2dbae7bd3b,20150817,23
03c6699ea836decbc5c8fc2dbae7bd3b,20150818,20
03c6699ea836decbc5c8fc2dbae7bd3b,20150819,16
03c6699ea836decbc5c8fc2dbae7bd3b,20150820,13
03c6699ea836decbc5c8fc2dbae7bd3b,20150821,9
03c6699ea836decbc5c8fc2dbae7bd3b,20150822,6
03c6699ea836decbc5c8fc2dbae7bd3b,20150823,3
03c6699ea836decbc5c8fc2dbae7bd3b,20150824,0
03c6699ea836decbc5c8fc2dbae7bd3b,20150825,-3
03c6699ea836decbc5c8fc2dbae7bd3b,20150826,-6
03c6699ea836decbc5c8fc2dbae7bd3b,20150827,-9
03c6699ea836decbc5c8fc2dbae7bd3b,20150828,-12
03c6699ea836decbc5c8fc2dbae7bd3b,20150829,-15
03c6699ea836decbc5c8fc2dbae7bd3b,20150830,-18
