artist_id,ds,plays
f482df6fc477306b27261a092b10da2f,20150311,0.0
f482df6fc477306b27261a092b10da2f,20150312,-175.118067439
f482df6fc477306b27261a092b10da2f,20150313,-262.248869054
f482df6fc477306b27261a092b10da2f,20150314,-318.020027678
f482df6fc477306b27261a092b10da2f,20150315,-358.149803932
f482df6fc477306b27261a092b10da2f,20150316,-389.065166528
f482df6fc477306b27261a092b10da2f,20150317,-413.974402721
f482df6fc477306b27261a092b10da2f,20150318,-434.691624913
f482df6fc477306b27261a092b10da2f,20150319,-452.334696689
f482df6fc477306b27261a092b10da2f,20150320,-467.637334675
f482df6fc477306b27261a092b10da2f,20150321,-481.10501019
f482df6fc477306b27261a092b10da2f,20150322,-493.09957037
f482df6fc477306b27261a092b10da2f,20150323,-503.88824734
f482df6fc477306b27261a092b10da2f,20150324,-513.673562372
f482df6fc477306b27261a092b10da2f,20150325,-522.612372945
f482df6fc477306b27261a092b10da2f,20150326,-530.828448853
f482df6fc477306b27261a092b10da2f,20150327,-538.421033786
f482df6fc477306b27261a092b10da2f,20150328,-545.470829585
f482df6fc477306b27261a092b10da2f,20150329,-552.044276148
f482df6fc477306b27261a092b10da2f,20150330,-558.19667477
f482df6fc477306b27261a092b10da2f,20150331,-563.974508539
f482df6fc477306b27261a092b10da2f,20150401,-569.417193927
f482df6fc477306b27261a092b10da2f,20150402,-574.558422054
f482df6fc477306b27261a092b10da2f,20150403,-579.427199114
f482df6fc477306b27261a092b10da2f,20150404,-584.048662958
f482df6fc477306b27261a092b10da2f,20150405,-588.444730877
f482df6fc477306b27261a092b10da2f,20150406,-592.634618532
f482df6fc477306b27261a092b10da2f,20150407,-596.635259416
f482df6fc477306b27261a092b10da2f,20150408,-600.461646736
f482df6fc477306b27261a092b10da2f,20150409,-604.127114206
f482df6fc477306b27261a092b10da2f,20150410,-607.643568316
f482df6fc477306b27261a092b10da2f,20150411,-611.021681735
f482df6fc477306b27261a092b10da2f,20150412,-614.27105535
f482df6fc477306b27261a092b10da2f,20150413,-617.400354812
f482df6fc477306b27261a092b10da2f,20150414,-620.41742622
f482df6fc477306b27261a092b10da2f,20150415,-623.329394638
f482df6fc477306b27261a092b10da2f,20150416,-626.142748383
f482df6fc477306b27261a092b10da2f,20150417,-628.863411471
f482df6fc477306b27261a092b10da2f,20150418,-631.496806145
f482df6fc477306b27261a092b10da2f,20150419,-634.047907068
f482df6fc477306b27261a092b10da2f,20150420,-636.521288459
f482df6fc477306b27261a092b10da2f,20150421,-638.921165249
f482df6fc477306b27261a092b10da2f,20150422,-641.251429137
f482df6fc477306b27261a092b10da2f,20150423,-643.515680271
f482df6fc477306b27261a092b10da2f,20150424,-645.717255192
f482df6fc477306b27261a092b10da2f,20150425,-647.859251532
f482df6fc477306b27261a092b10da2f,20150426,-649.944549916
f482df6fc477306b27261a092b10da2f,20150427,-651.975833444
f482df6fc477306b27261a092b10da2f,20150428,-653.955605045
f482df6fc477306b27261a092b10da2f,20150429,-655.886202995
f482df6fc477306b27261a092b10da2f,20150430,-657.769814812
f482df6fc477306b27261a092b10da2f,20150501,-659.608489728
f482df6fc477306b27261a092b10da2f,20150502,-661.404149919
