artist_id,gmt_date,artist_moving
031460402eed3e9154f8672935602e32,20150301,5676
031460402eed3e9154f8672935602e32,20150302,4866
031460402eed3e9154f8672935602e32,20150303,4664
031460402eed3e9154f8672935602e32,20150304,5167
031460402eed3e9154f8672935602e32,20150305,4792
031460402eed3e9154f8672935602e32,20150306,4947
031460402eed3e9154f8672935602e32,20150307,4714
031460402eed3e9154f8672935602e32,20150308,6370
031460402eed3e9154f8672935602e32,20150309,6453
031460402eed3e9154f8672935602e32,20150310,5819
031460402eed3e9154f8672935602e32,20150311,5718
031460402eed3e9154f8672935602e32,20150312,5619
031460402eed3e9154f8672935602e32,20150313,5480
031460402eed3e9154f8672935602e32,20150314,4950
031460402eed3e9154f8672935602e32,20150315,5214
031460402eed3e9154f8672935602e32,20150316,5069
031460402eed3e9154f8672935602e32,20150317,5131
031460402eed3e9154f8672935602e32,20150318,5345
031460402eed3e9154f8672935602e32,20150319,7039
031460402eed3e9154f8672935602e32,20150320,7563
031460402eed3e9154f8672935602e32,20150321,7473
031460402eed3e9154f8672935602e32,20150322,9377
031460402eed3e9154f8672935602e32,20150323,9602
031460402eed3e9154f8672935602e32,20150324,8675
031460402eed3e9154f8672935602e32,20150325,7886
031460402eed3e9154f8672935602e32,20150326,6731
031460402eed3e9154f8672935602e32,20150327,6773
031460402eed3e9154f8672935602e32,20150328,5986
031460402eed3e9154f8672935602e32,20150329,6549
031460402eed3e9154f8672935602e32,20150330,6458
031460402eed3e9154f8672935602e32,20150331,7052
031460402eed3e9154f8672935602e32,20150401,7156
031460402eed3e9154f8672935602e32,20150402,7355
031460402eed3e9154f8672935602e32,20150403,7139
031460402eed3e9154f8672935602e32,20150404,6748
031460402eed3e9154f8672935602e32,20150405,6744
031460402eed3e9154f8672935602e32,20150406,7360
031460402eed3e9154f8672935602e32,20150407,7485
031460402eed3e9154f8672935602e32,20150408,8599
031460402eed3e9154f8672935602e32,20150409,8317
031460402eed3e9154f8672935602e32,20150410,7368
031460402eed3e9154f8672935602e32,20150411,7634
031460402eed3e9154f8672935602e32,20150412,8428
031460402eed3e9154f8672935602e32,20150413,7497
